Date,Open,High,Low,Close,Adj Close,Volume
1997-01-02,74.375000,74.375000,72.750000,74.031250,46.149883,2031900
1997-01-03,74.375000,75.125000,74.078125,75.093750,46.812225,2123200
1997-01-06,75.093750,75.437500,74.312500,74.437500,46.403118,1374100
1997-01-07,74.437500,75.468750,74.125000,75.343750,46.968067,939000
1997-01-08,75.750000,75.781250,74.687500,74.687500,46.558968,1802200
1997-01-09,75.062500,75.875000,74.937500,75.312500,46.948570,1415700
1997-01-10,74.250000,76.250000,74.250000,76.125000,47.455070,2369500
1997-01-13,76.500000,76.500000,75.640625,76.015625,47.386906,1364600
1997-01-14,76.687500,77.390625,76.500000,76.968750,47.981060,2111200
1997-01-15,76.718750,77.203125,76.375000,76.781250,47.864174,1583900
1997-01-16,77.031250,77.296875,76.500000,77.093750,48.058983,1308400
1997-01-17,77.203125,77.750000,77.109375,77.562500,48.351189,1604000
1997-01-20,77.750000,78.093750,77.468750,77.656250,48.409626,1889900
1997-01-21,77.375000,78.546875,77.109375,78.281250,48.799229,2785800
1997-01-22,78.312500,78.843750,77.875000,78.843750,49.149914,1201600
1997-01-23,79.062500,79.687500,76.906250,77.750000,48.468075,2601100
1997-01-24,77.875000,77.906250,76.750000,76.750000,47.844700,2176000
1997-01-27,76.875000,77.234375,76.375000,76.531250,47.708302,2108500
1997-01-28,77.625000,77.843750,76.000000,76.750000,47.844700,4376000
1997-01-29,76.875000,77.500000,76.593750,77.500000,48.312229,1122700
1997-01-30,77.875000,78.531250,77.406250,78.500000,48.935631,2126300
1997-01-31,78.937500,79.406250,78.375000,78.406250,48.877178,3208100
1997-02-03,78.718750,78.890625,78.359375,78.640625,49.023293,755000
1997-02-04,78.750000,79.203125,78.437500,79.125000,49.325214,654100
1997-02-05,79.234375,79.468750,77.125000,77.640625,48.399879,2255400
1997-02-06,77.781250,78.203125,77.406250,78.156250,48.721321,2483100
1997-02-07,78.812500,79.250000,77.781250,79.218750,49.383678,2321000
1997-02-10,79.250000,79.531250,78.421875,78.468750,48.916153,1670000
1997-02-11,78.781250,79.375000,78.125000,79.375000,49.481087,1664300
1997-02-12,79.375000,80.640625,79.265625,80.500000,50.182377,2675400
1997-02-13,80.812500,81.562500,80.687500,81.375000,50.727840,1104800
1997-02-14,81.187500,81.468750,80.906250,81.187500,50.610973,1112900
1997-02-18,81.343750,81.937500,80.750000,81.875000,51.039539,833100
1997-02-19,81.656250,82.000000,81.156250,81.328125,50.698647,648100
1997-02-20,81.031250,81.359375,80.156250,80.343750,50.084976,1193900
1997-02-21,80.406250,80.765625,80.140625,80.375000,50.104458,1844400
1997-02-24,79.968750,81.375000,79.968750,81.328125,50.698647,787300
1997-02-25,81.406250,81.531250,80.875000,81.390625,50.737576,1653900
1997-02-26,81.312500,81.437500,79.625000,80.593750,50.240799,1597800
1997-02-27,80.812500,80.812500,79.375000,79.390625,49.490810,1813100
1997-02-28,79.250000,79.875000,79.062500,79.156250,49.344715,2961200
1997-03-03,78.750000,79.750000,78.687500,79.687500,49.675892,1210400
1997-03-04,79.906250,80.125000,79.093750,79.250000,49.403149,1478700
1997-03-05,79.718750,80.593750,79.453125,80.593750,50.240799,1254800
1997-03-06,80.625000,80.906250,79.875000,80.125000,49.948605,1528500
1997-03-07,80.437500,81.156250,80.250000,80.843750,50.396679,1859300
1997-03-10,80.937500,81.687500,80.546875,81.687500,50.922661,1074900
1997-03-11,81.750000,81.796875,81.250000,81.250000,50.649910,624600
1997-03-12,81.312500,81.343750,80.296875,80.531250,50.201885,1055600
1997-03-13,80.250000,80.468750,79.062500,79.281250,49.422611,2514100
1997-03-14,79.640625,80.031250,79.250000,79.687500,49.675892,1642700
1997-03-17,79.250000,80.031250,78.437500,79.906250,49.812244,3013500
1997-03-18,80.000000,80.109375,78.718750,79.046875,49.276546,1352500
1997-03-19,78.843750,79.500000,78.062500,78.781250,49.110954,1510000
1997-03-20,78.750000,79.000000,77.875000,78.375000,48.857689,1808200
1997-03-21,78.687500,78.750000,78.343750,78.437500,49.083912,2810600
1997-03-24,78.500000,79.578125,78.093750,79.531250,49.768307,2145600
1997-03-25,79.343750,79.968750,78.531250,78.750000,49.279442,2125800
1997-03-26,79.062500,79.656250,78.687500,79.093750,49.494587,1335300
1997-03-27,79.375000,79.375000,76.156250,77.000000,48.184361,2898500
1997-03-31,76.906250,77.125000,75.250000,75.375000,47.167488,4270700
1997-04-01,75.250000,76.187500,75.046875,75.859375,47.470592,3210900
1997-04-02,75.625000,75.937500,74.437500,74.500000,46.619923,2672700
1997-04-03,74.437500,75.125000,74.187500,74.906250,46.874168,2284200
1997-04-04,74.500000,75.859375,74.156250,75.843750,47.460823,3706700
1997-04-07,76.187500,76.625000,76.140625,76.140625,47.646599,2596200
1997-04-08,76.125000,76.781250,75.843750,76.687500,47.988819,1822700
1997-04-09,77.000000,77.046875,75.843750,76.062500,47.597717,2453200
1997-04-10,76.093750,76.546875,75.687500,75.781250,47.421703,1996500
1997-04-11,75.062500,75.312500,73.375000,73.375000,45.915955,4221600
1997-04-14,73.734375,74.453125,73.312500,74.359375,46.531944,3988500
1997-04-15,75.250000,75.640625,74.500000,75.625000,47.323948,2760400
1997-04-16,75.375000,76.609375,75.250000,76.500000,47.871487,2273300
1997-04-17,76.500000,77.000000,76.000000,76.187500,47.675922,1386000
1997-04-18,76.812500,76.984375,76.250000,76.562500,47.910614,1702100
1997-04-21,76.750000,76.906250,75.468750,76.062500,47.597717,2809400
1997-04-22,76.109375,77.734375,76.000000,77.734375,48.643929,3215000
1997-04-23,77.656250,78.031250,77.187500,77.812500,48.692810,2047700
1997-04-24,78.046875,78.281250,76.875000,77.421875,48.448353,2689900
1997-04-25,77.062500,77.203125,76.421875,76.531250,47.891022,1606200
1997-04-28,76.500000,77.812500,76.375000,77.281250,48.360371,1666500
1997-04-29,78.593750,79.781250,78.296875,79.718750,49.885681,3197400
1997-04-30,79.250000,80.687500,79.218750,80.093750,50.120342,3372200
1997-05-01,80.218750,80.531250,79.312500,80.000000,50.061676,2149500
1997-05-02,80.281250,81.671875,80.062500,81.437500,50.961224,1448300
1997-05-05,81.656250,83.562500,81.296875,83.375000,52.173668,3636200
1997-05-06,82.968750,83.468750,82.500000,83.312500,52.134521,1721100
1997-05-07,83.000000,83.000000,81.406250,81.500000,51.000324,2327200
1997-05-08,81.312500,83.218750,81.187500,82.062500,51.352322,2923700
1997-05-09,82.968750,83.125000,81.656250,82.625000,51.704300,2558200
1997-05-12,82.937500,84.250000,82.875000,84.000000,52.564770,2357900
1997-05-13,83.937500,84.093750,83.015625,83.656250,52.349648,1195100
1997-05-14,84.234375,84.500000,83.437500,83.812500,52.447441,2772000
1997-05-15,83.812500,84.593750,83.515625,84.375000,52.799419,884100
1997-05-16,84.125000,84.312500,83.000000,83.218750,52.075878,1934200
1997-05-19,83.312500,83.906250,83.062500,83.468750,52.232307,1375800
1997-05-20,83.281250,84.687500,82.750000,84.468750,52.858074,1756400
1997-05-21,84.687500,84.984375,83.656250,84.281250,52.740757,1208000
1997-05-22,84.375000,84.468750,83.562500,84.000000,52.564770,907600
1997-05-23,84.375000,85.218750,84.156250,84.781250,53.053650,644400
1997-05-27,84.375000,85.531250,84.265625,85.125000,53.268764,1531000
1997-05-28,85.125000,85.453125,84.515625,85.109375,53.258991,716700
1997-05-29,85.093750,85.250000,84.500000,84.609375,52.946091,1282700
1997-05-30,83.218750,85.562500,83.125000,85.156250,53.288311,2143300
1997-06-02,85.343750,85.500000,84.718750,84.781250,53.053650,1479100
1997-06-03,84.406250,85.437500,84.343750,84.500000,52.877640,1562100
1997-06-04,84.531250,84.750000,84.078125,84.406250,52.818966,1063100
1997-06-05,84.593750,85.312500,84.421875,84.718750,53.014549,1180800
1997-06-06,84.593750,86.437500,84.593750,86.375000,54.050987,1511100
1997-06-09,86.437500,86.875000,86.343750,86.812500,54.324753,1823400
1997-06-10,86.843750,87.406250,86.500000,87.078125,54.490929,1217500
1997-06-11,87.000000,87.406250,86.828125,87.281250,54.618053,1673800
1997-06-12,87.875000,89.000000,87.562500,88.968750,55.674068,4273300
1997-06-13,89.062500,90.000000,88.906250,89.718750,56.143387,2132900
1997-06-16,89.750000,90.000000,89.468750,89.750000,56.162933,800400
1997-06-17,89.437500,90.234375,88.937500,89.625000,56.084736,2048100
1997-06-18,89.125000,89.625000,88.968750,89.312500,55.889160,1971900
1997-06-19,89.609375,90.500000,89.375000,90.234375,56.466038,2029900
1997-06-20,89.937500,90.343750,89.500000,89.578125,56.273659,1396900
1997-06-23,89.406250,89.906250,87.343750,87.406250,54.909267,3991500
1997-06-24,88.250000,89.875000,88.000000,89.625000,56.303116,4895100
1997-06-25,89.484375,90.250000,87.937500,89.000000,55.910488,4708900
1997-06-26,88.843750,89.625000,87.687500,88.562500,55.635635,2569900
1997-06-27,88.968750,89.718750,88.687500,88.906250,55.851574,2617900
1997-06-30,88.906250,89.468750,87.875000,88.312500,55.478600,2384900
1997-07-01,88.500000,89.562500,88.390625,89.343750,56.126423,1749000
1997-07-02,89.562500,90.812500,89.218750,90.812500,57.049145,1961800
1997-07-03,91.875000,92.156250,91.468750,92.062500,57.834358,2539100
1997-07-07,92.375000,92.500000,90.906250,91.125000,57.245415,1158600
1997-07-08,91.250000,92.187500,91.187500,92.078125,57.844170,3396500
1997-07-09,92.312500,92.375000,90.031250,91.062500,57.206154,5390300
1997-07-10,91.125000,91.843750,90.484375,91.468750,57.461349,2072200
1997-07-11,91.593750,92.187500,91.375000,91.781250,57.657722,2258900
